"playerid","name","Bats","dist1b","dist2b","dist3b","distHR","distIBB"
9490,"Jeremy Jeffress","R",NA,NA,NA,NA,0
9549,"David Freese","R",0.607244090296857,0.205119252298738,0.0147076254989452,0.177719132964754,0.021239837398374
9571,"Craig Gentry","R",0.797791580400276,0.126488095238095,0.0530835284933647,0.02280348759222,0
9627,"Yan Gomes","R",0.650897519995858,0.199173676047166,0.00916522110560034,0.140446786178298,0.0647370052494324
9674,"Vidal Nuno","L",0.99476439790576,0,0,0,0
9682,"Adam Rosales","R",0.4975,0.247512437810946,0,0.256443298969073,0
9744,"Justin Bour","L",0.570293077517622,0.171581976412338,0.00494488419039525,0.246180776690115,0.0399286498353458
9761,"Joe Kelly","R",NA,NA,NA,NA,0
9774,"Christian Vazquez","R",0.722446454692843,0.175646340552152,0.00238670270934649,0.102192606000687,0.0302023976023976
9776,"Jason Kipnis","L",0.614777078078572,0.232439237398281,0.0198184359128326,0.130112693940118,0.0221111111111111
9777,"Nolan Arenado","R",0.608174912200635,0.195413468115986,0.00798916302616503,0.191291535160808,0.125670319463148
9784,"Garrett Richards","R",0,0.908695652173913,0,0,0
9785,"Kyle Seager","L",0.525013437128515,0.246870649848106,0.00805730507790995,0.220953463454307,0.0485156946922391
9787,"Steven Baron","R",0.732580691504645,0.219298245614035,0,0,0
9794,"Rex Brothers","L",NA,NA,NA,NA,0
9803,"Miles Mikolas","R",0.747932389937107,0.124802994483845,0,0.12126642771804,0
9807,"Ryan Goins","L",0.668794362312942,0.257531948311558,0.0371029963348022,0.0256512493354598,0.0195098039215686
9810,"Brian Dozier","R",0.728612562134623,0.144325784760832,0.00907242328042326,0.129356849749082,0.015823990987011
9817,"Sergio Romo","R",NA,NA,NA,NA,0
9847,"Andrew McCutchen","R",0.619897818762151,0.199534092602704,0.00831303281197029,0.176152761704878,0.0118845809295839
9848,"Austin Jackson","R",0.736296534897747,0.21435809943339,0.0100938521800266,0.0332215134857185,0.0754958677685949
9854,"Efren Navarro","L",0.970873786407767,0,0,0,0
9856,"Brandon Snyder","R",0,1,0,0,0
9874,"DJ LeMahieu","R",0.734905628140532,0.165012088184799,0.0122561566956112,0.0927901042636189,0.0091836268754077
9892,"Jay Bruce","L",0.455228544749686,0.259969696852519,0.0208790869089697,0.249600943303874,0.059072299651568
9893,"Colby Rasmus","L",0.66006600660066,0.17636684303351,0,0.151515151515151,0
9895,"Chris Rusin","L",1,0,0,0,0
9927,"Brett Gardner","L",0.617312252066199,0.191218714949642,0.0611475241683772,0.14151125501019,0
9929,"Darin Ruf","R",0.615832642168854,0.221316182427859,0.00565084052703316,0.164116619935543,0.0106521739130435
9939,"Brandon Kintzler","R",NA,NA,NA,NA,0
9952,"Trayce Thompson","R",0.51869089039791,0.172191754018207,0.00475165134456758,0.283921282134276,0.0335714285714286
9953,"Ryan Schimpf","L",0,0,0,0.86547085201794,0
9957,"Steve Pearce","R",0.640694773557827,0.222771498028723,0.00709237611287726,0.120985554338351,0
9968,"Dan Butler","R",1,0,0,0,0
10021,"Mike Minor","R",0,0.981308411214953,0,0,0
10028,"Christian Bethancourt","R",0.622105798598056,0.225526001524263,0,0.155986427327639,0
10030,"Chris Owings","R",0.672231705990309,0.199959369759697,0.0316362614061132,0.0801689963653761,0.0518849206349206
10047,"Wil Myers","R",0.604297316236008,0.229695648801118,0.0148044414520967,0.14926655694702,0.0202094356261023
10059,"Max Stassi","R",0.674389148460806,0.153074983350469,0.00667524426038358,0.165432556827962,0
10067,"Tomas Telis","B",0.808158625915636,0.173011409722597,0,0,0
10071,"Jonathan Villar","B",0.726792018258502,0.145129064821675,0.0190255942952325,0.104558721508083,0.0193047362239089
10123,"Kyle Gibson","R",0.866469160479726,0,0,0.122572815533981,0
10130,"Mike Leake","R",1,0,0,0,0
10131,"Stephen Strasburg","R",0.62223659551885,0.360062893081761,0,0.0275080906148868,0
10155,"Mike Trout","R",0.50645827491189,0.169787936607283,0.0304569647930271,0.287442813592382,0.131422825401894
10160,"Ryan Weber","R",NA,NA,NA,NA,0
10166,"Nick Franklin","B",NA,NA,NA,NA,0
10190,"Tyler Skaggs","L",NA,NA,NA,NA,0
10197,"Shelby Miller","R",NA,NA,NA,NA,0
10199,"Billy Hamilton","B",0.770147828149595,0.12813000753783,0.0419271707199725,0.06866123447761,0.00513835103332223
10200,"Tucker Barnhart","L",0.729016563947664,0.185715563866523,0.00353623785491126,0.0770277065113928,0.0344004287538771
10231,"Jose Iglesias","R",0.716325087334351,0.226349226436089,0.011982268943168,0.0513603908235649,0.0395
10243,"Randal Grichuk","R",0.579939951833132,0.21914673803217,0.0147837521518506,0.182146868471792,0.0204284894210267
10264,"Brandon Belt","L",0.573312648271926,0.206317267363501,0.0155106143611671,0.208553984573438,0.0529418390764871
10286,"Francisco Arcia","L",0.476190476190474,0.251105906843612,0,0.247277386290839,0
10310,"Zack Wheeler","L",0.782995154685122,0.18659682173751,0,0.0268384326355341,0
10314,"Erasmo Ramirez","R",NA,NA,NA,NA,0
10322,"Danny Santana","B",0.492288761885609,0.341865596269916,0.0227288514407508,0.149298628690164,0.020532
