"name","playerid","new_TBF","TBF","Source","TBF_adj_rate"
"Enmanuel Acosta","sa3010325",4.778,NA,NA,NA
"Enmanuel De Jesus","18554",41.4837142857143,134.328,"REZ1",0.308824029879953
"Enmanuel Mejia","sa3009262",116.723,NA,NA,NA
"Enmanuel Pinales","sa3018832",4.524,NA,NA,NA
"Enmanuel Solano","sa921578",4.717,NA,NA,NA
"Enniel Cortez","sa3021525",4.603,NA,NA,NA
"Enoli Paredes","20447",115.815818181818,160.27,"REZ1",0.72262942647918
"Enrique Carta","sa3022048",5.066,NA,NA,NA
"Enrique Coronel","sa3019739",4.894,NA,NA,NA
"Enrique Santana","sa3007496",4.73,NA,NA,NA
"Enrique Segura","sa3019147",4.721,NA,NA,NA
"Enyel De Los Santos","18403",140.802470588235,218.778,"REZ1",0.643586057959371
"Enyer Burgos","sa3019481",5.126,NA,NA,NA
"Enyerber Rivero","sa3022129",5.107,NA,NA,NA
"Erasmo Ramirez","10314",138.774666666667,151.848,"REZ1",0.913905133203379
"Erian Rodriguez","sa3019625",4.632,NA,NA,NA
"Eriberto Vasquez","sa3020970",5.144,NA,NA,NA
"Eric Adler","sa3020592",87.7125,NA,NA,NA
"Eric Cerantola","sa3017914",102.0079,NA,NA,NA
"Eric Dominguez","sa3019284",4.681,NA,NA,NA
"Eric Foggo","sa3020948",4.815,NA,NA,NA
"Eric Hanhold","18332",4.401,NA,NA,NA
"Eric Lauer","19316",149.309509090909,203.814,"REZ1",0.732577296411969
"Eric Mendez","sa3005433",4.669,NA,NA,NA
"Eric Orze","27626",165.957811764706,147.136,"REZ1",1.12792118696108
"Eric Pardinho","sa968102",113.7055,NA,NA,NA
"Eric Prado","sa3021780",4.696,NA,NA,NA
"Eric Reyzelman","sa3020611",86.678,NA,NA,NA
"Eric Silva","sa3017965",138.193,NA,NA,NA
"Eric Skoglund","16155",4.399,NA,NA,NA
"Eric Stout","16873",4.394,NA,NA,NA
"Eric Torres","sa3017262",100.7555,NA,NA,NA
"Eric Veras","sa3024462",4.869,NA,NA,NA
"Eric Yardley","15538",4.507,NA,NA,NA
"Eric Yost","sa3022858",4.501,NA,NA,NA
"Erich Uelmen","20323",114.88925,168.313,"REZ1",0.682592847848948
"Erick Fedde","17425",669.718882352941,577.363,"REZ1",1.15996155339525
"Erick Padilla","sa3019392",5.092,NA,NA,NA
"Erick Pinales","sa3007963",4.719,NA,NA,NA
"Erick Reynoso","sa3021749",4.963,NA,NA,NA
"Erick Rodriguez","sa3015155",4.653,NA,NA,NA
"Erik Martinez","sa3020835",4.359,NA,NA,NA
"Erik Miller","26252",250.277058823529,186.386,"REZ1",1.34278893706356
"Erik Rivera","sa3010867",4.613,NA,NA,NA
