"name","playerid","new_GS","GS","Source","GS_adj_rate"
"Tyler Eckberg","sa3017365",0,NA,NA,NA
"Tyler Ferguson","19481",0.415,1.685,"REZ1",0.246290801186944
"Tyler Gilbert","17964",0.847251529411765,-0.019,"REZ1",-44.5921857585139
"Tyler Gillies","sa3008645",0,NA,NA,NA
"Tyler Glasnow","14374",22.7539176470588,20.588,"REZ1",1.10520291660476
"Tyler Gough","sa3020865",0.1739,NA,NA,NA
"Tyler Guilfoil","sa3020113",8.07975,NA,NA,NA
"Tyler Herb","sa829625",0,NA,NA,NA
"Tyler Higgins","sa503722",0,NA,NA,NA
"Tyler Hoffman","sa3020449",0,NA,NA,NA
"Tyler Holton","26231",2.385994,7.642,"REZ1",0.312221146296781
"Tyler Ivey","20237",0.1754,NA,NA,NA
"Tyler Jay","17952",0.229818181818182,0.176,"REZ1",1.30578512396694
"Tyler Kennedy","sa3023042",0,NA,NA,NA
"Tyler Kinley","18297",0.537705882352941,3.047,"REZ1",0.176470588235294
"Tyler Mahle","16358",21.0880588235294,8.35,"REZ1",2.52551602676999
"Tyler Mattison","sa3018117",0,NA,NA,NA
"Tyler Matzek","10058",0.985058823529412,5.582,"REZ1",0.176470588235294
"Tyler McKay","sa3007851",0.5,NA,NA,NA
"Tyler Mitzel","sa3007862",0,NA,NA,NA
"Tyler Morgan","sa3022862",0.077,NA,NA,NA
"Tyler Myrick","sa3017541",0,NA,NA,NA
"Tyler Owens","sa3011201",0.666666666666667,NA,NA,NA
"Tyler Palm","sa3007270",0.0404,NA,NA,NA
"Tyler Phillips","20629",5.59166941176471,13.665,"REZ1",0.409196444329653
"Tyler Pike","sa657974",0.0219,NA,NA,NA
"Tyler Ras","sa3017718",0,NA,NA,NA
"Tyler Rogers","15541",-0.716294117647059,-4.059,"REZ1",0.176470588235294
"Tyler Samaniego","sa3017876",0,NA,NA,NA
"Tyler Santana","sa3017542",0.0251,NA,NA,NA
"Tyler Schimpf","sa829573",0,NA,NA,NA
"Tyler Schlaffer","sa3011815",0.1625,NA,NA,NA
"Tyler Schoff","sa3017545",0,NA,NA,NA
"Tyler Schweitzer","sa3020712",11.0877,NA,NA,NA
"Tyler Stuart","sa3020264",3.85281216666667,NA,NA,NA
"Tyler Thomas","sa873974",0.52245,NA,NA,NA
"Tyler Thornburg","10688",0,NA,NA,NA
"Tyler Thornton","sa3018229",0,NA,NA,NA
"Tyler Uberstine","sa3017643",0.1754,NA,NA,NA
"Tyler Viza","sa738610",0,NA,NA,NA
"Tyler Vogel","sa3020406",0.0549,NA,NA,NA
"Tyler Webb","14974",0,NA,NA,NA
"Tyler Wehrle","sa3019961",0.0488,NA,NA,NA
"Tyler Wells","20000",3.65216564705882,9.558,"REZ1",0.382105633716136
"Tyler Woessner","sa3020171",6.56105,NA,NA,NA
"Tyler Yankosky","sa1170108",0,NA,NA,NA
"Tyler Zuber","20379",0.419294117647059,2.376,"REZ1",0.176470588235294
"Tylor Megill","21318",11.1043117647059,19.643,"REZ1",0.565306305793712
"Tyree Thompson","sa918618",0.0377,NA,NA,NA
"Tyrone Yulie","sa3010246",0.1754,NA,NA,NA
"Tyson Guerrero","sa3017140",10.5863,NA,NA,NA
"Tyson Messer","sa3010114",0,NA,NA,NA
"Tyson Miller","19976",1.00158823529412,3.009,"REZ1",0.332864152640119
"TzuChen Sha","sa3021551",0.1461,NA,NA,NA
"Ubaldo Soto","sa3022015",0.1754,NA,NA,NA
"Ubert Mejias","sa3021562",0.1726,NA,NA,NA
"Ulices Campos","sa3015997",0,NA,NA,NA
"Valente Bellozo","23899",8.87479294117647,8.085,"REZ1",1.09768620175343
"Valentin Linarez","sa3006557",2.5,NA,NA,NA
"Victor Arano","15915",0,NA,NA,NA
"Victor Basora","sa3016219",0,NA,NA,NA
"Victor Brea","sa3019242",0,NA,NA,NA
"Victor Cabreja","sa3018342",0,NA,NA,NA
"Victor Castaneda","sa978399",0,NA,NA,NA
"Victor Espiritu","sa3023847",0.1132,NA,NA,NA
"Victor Fransua","sa3016488",0,NA,NA,NA
"Victor Garcia","sa3015930",0,NA,NA,NA
"Victor Garcia","sa3023615",0.0542,NA,NA,NA
"Victor Gonzalez","16408",0.0848617294117647,0.373,"REZ1",0.227511338905535
"Victor Juarez","sa3016226",0.1739,NA,NA,NA
"Victor Lizarraga","sa3015220",11.0877,NA,NA,NA
"Victor Lopez","sa3009636",0,NA,NA,NA
"Victor Mederos","31533",2.50790094117647,0.069,"REZ1",36.3463904518329
"Victor Munoz","sa3006381",0.1377,NA,NA,NA
"Victor Pena","sa3017015",0,NA,NA,NA
"Victor Santos","sa3003083",7.05395,NA,NA,NA
"Victor Simeon","sa3011677",0,NA,NA,NA
"Victor Soteldo","sa3017098",0,NA,NA,NA
"Victor Vargas","sa3007724",0.1754,NA,NA,NA
"Victor Villanueva","sa3008137",0,NA,NA,NA
"Victor Vodnik","24614",0.218588235294118,0.572,"REZ1",0.382147264500206
"Vin Timpanelli","sa3014814",0,NA,NA,NA
"Vince Reilly","sa3040586",0,NA,NA,NA
"Vince Sanchez","sa3019298",0.1525,NA,NA,NA
"Vince Vannelle","sa3018094",0.0168,NA,NA,NA
"Vince Velasquez","11189",2.56905626666667,12.501,"REZ1",0.205508060688478
"Vinny Nittoli","16754",1.22936363636364,3.841,"REZ1",0.32006343045135
"Vitico Valdez","sa3017472",0.1535,NA,NA,NA
"Vladimir Gutierrez","19278",5.144,3.364,"REZ1",1.52913198573127
"Wade Davis","7441",0,NA,NA,NA
"Wade LeBlanc","5221",0.1323,NA,NA,NA
"Wade Miley","8779",9.42572235294118,10.311,"REZ1",0.914142406453416
"Wagner Castillo","sa3018354",0,NA,NA,NA
"Walbert Urena","sa3018298",0.1754,NA,NA,NA
"Wali Pierre","sa3020968",0,NA,NA,NA
"Walin Castillo","sa3019280",0.1651,NA,NA,NA
"Walker Brockhouse","sa3017105",0.0442,NA,NA,NA
"Walker Buehler","19374",25.6828823529412,26.436,"REZ1",0.971511664130019
"Walker Powell","sa3017815",6.5877,NA,NA,NA
"Walter Ford","sa3022190",0.1665,NA,NA,NA
"Walter Pennington","27624",-0.0616538823529412,-1.955,"REZ1",0.0315365127125019
